Code,Name,Descrption,Note,Quantity,Man-Hours,Total Man-Hours
1000 010.000.000.000,Project Management,Proj Management,Project Management,0,0,0
1000 010.010.000.000,Project Opening and Closing,PM - Proj Opening and Closing,Project Management - Project Opening and Closing,0,0,0
1000 010.010.010.000,Project Setup and Kick off,PM - Proj Open/Close - Proj Setup and Kick off,Project Management - Project Opening and Closing - Project Setup and Kick off,1,4,4
1000 010.010.020.000,Project Closeout and Report,PM - Proj Open/Close - Proj Closeout and Report,Project Management - Project Opening and Closing - Project Closeout and Report,1,8,8
1000 010.020.000.000,Planning,PM - Planning,Project Management - Planning,0,0,0
1000 010.020.010.000,Project Execution Plan,PM - Planning - Proj Execution Plan,Project Management - Planning - Project Execution Plan,1,20,20
1000 010.020.020.000,Safety Plan,PM - Planning - Sfty Plan,Project Management - Planning - Safety Plan,0,0,0
1000 010.020.030.000,Quality Assurance Plan,PM - Planning - Quality Assurance Plan,Project Management - Planning - Quality Assurance Plan,0,0,0
1000 010.020.040.000,Project Risk Management Plan,PM - Planning - Proj Risk Management Plan,Project Management - Planning - Project Risk Management Plan,0,0,0
1000 010.020.050.000,Procurement Plan,PM - Planning - Procurement Plan,Project Management - Planning - Procurement Plan,0,0,0
1000 010.020.060.000,Document Control Plan and Distribution Matrix,PM - Planning - Doc Cntrl Plan and Distribution Matrix,Project Management - Planning - Document Control Plan and Distribution Matrix,1,8,8
1000 010.020.070.000,Design Basis,PM - Planning - Design Basis,Project Management - Planning - Design Basis,1,8,8
1000 010.020.080.000,Pre Award Propossal Development,PM - Planning - Pre Award Propossal Development,Project Management - Planning - Pre Award Propossal Development,0,0,0
1000 010.020.090.000,Post Award Scope Development,PM - Planning - Post Award Scope Development,Project Management - Planning - Post Award Scope Development,0,0,0
1000 010.030.000.000,Coordination,PM - Coord,Project Management - Coordination,0,0,0
1000 010.030.010.000,General Project Management,PM - Coord - General Proj Management,Project Management - Coordination - General Project Management,1,100,100
1000 010.030.020.000,Inter-Discipline Meetings and Coordination,PM - Coord - Inter-Disc Meetings and Coord,Project Management - Coordination - Inter-Discipline Meetings and Coordination,1,52,52
1000 010.030.030.000,"Intra-Discipline Meetings, Coordination, and Supervision","PM - Coord - Intra-Disc Meetings, Coord, and Supervision","Project Management - Coordination - Intra-Discipline Meetings, Coordination, and Supervision",1,0,0
1000 010.030.040.000,Inter-Discipline Checking Internally Generated Documents,PM - Coord - Inter-Disc Checking Internally Generated Docs,Project Management - Coordination - Inter-Discipline Checking Internally Generated Documents,1,0,0
1000 010.030.050.000,Intra-Discipline Checking Internally Generated Documents,PM - Coord - Intra-Disc Checking Internally Generated Docs,Project Management - Coordination - Intra-Discipline Checking Internally Generated Documents,1,0,0
1000 010.030.060.000,Checking Externally Generated Documents,PM - Coord - Checking Externally Generated Docs,Project Management - Coordination - Checking Externally Generated Documents,1,2,2
1000 010.030.070.000,Third Party,PM - Coord - Third Party,Project Management - Coordination - Third Party,0,0,0
1000 010.030.080.000,Client,PM - Coord - Client,Project Management - Coordination - Client,1,20,20
1000 010.030.090.000,Construction,PM - Coord - Const,Project Management - Coordination - Construction,0,0,0
1000 010.030.100.000,Operations,PM - Coord - Operations,Project Management - Coordination - Operations,0,0,0
1000 010.030.110.000,Health Safety Environment (HSE),PM - Coord - Health Sfty Environment (HSE),Project Management - Coordination - Health Safety Environment (HSE),0,0,0
1000 010.030.120.000,Project Director (or above) Management,PM - Coord - Proj Director (or above) Management,Project Management - Coordination - Project Director (or above) Management,1,5,5
1000 010.030.130.000,Model/Design Reviews (Including PHA),PM - Coord - Model/Design Reviews (Including PHA),Project Management - Coordination - Model/Design Reviews (Including PHA),1,0,0
1000 010.100.000.000,Administrative,PM - Administrative,Project Management - Administrative,0,0,0
1000 010.100.010.000,Project Admin/Clerical,PM - Admin - Proj Admin/Clerical,Project Management - Administrative - Project Admin/Clerical,1,0,0
1000 010.110.000.000,Reports and Studies,PM - Reports and Studies,Project Management - Reports and Studies,0,0,0
1000 010.110.010.000,Lessons Learned Report,PM - Reports/Studies - Lessons Learned Report,Project Management - Reports and Studies - Lessons Learned Report,1,8,8
1000 010.110.020.000,Project Risk Register,PM - Reports/Studies - Proj Risk Register,Project Management - Reports and Studies - Project Risk Register,0,0,0
1000 010.110.030.000,Operability Review Report,PM - Reports/Studies - Operability Review Report,Project Management - Reports and Studies - Operability Review Report,0,0,0
1000 010.110.040.000,Project Progress Reports (Internal and External),PM - Reports/Studies - Proj Progress Reports (Int/Ext),Project Management - Reports and Studies - Project Progress Reports (Internal and External),20,2,40
1000 010.200.000.000,Field Work,PM - Field Work,Project Management - Field Work,0,0,0
1000 010.200.010.000,Field Trip Preparation,PM - Field Work - Field Trip Prep,Project Management - Field Work - Field Trip Preparation,4,0,0
1000 010.200.020.000,Field Trip Reports,PM - Field Work - Field Trip Reports,Project Management - Field Work - Field Trip Reports,4,0,0
